county_fips,county_name,state,population,median_household_income,year
1001,Autauga County,AL,43671,42013.0,2000
1003,Baldwin County,AL,140415,40250.0,2000
1005,Barbour County,AL,29038,25101.0,2000
1007,Bibb County,AL,20826,31420.0,2000
1009,Blount County,AL,51024,35241.0,2000
1011,Bullock County,AL,11714,20605.0,2000
1013,Butler County,AL,21399,24791.0,2000
1015,Calhoun County,AL,112249,31768.0,2000
1017,Chambers County,AL,36583,29667.0,2000
1019,Cherokee County,AL,23988,30874.0,2000
1021,Chilton County,AL,39593,32588.0,2000
1023,Choctaw County,AL,15922,24749.0,2000
1025,Clarke County,AL,27867,27388.0,2000
1027,Clay County,AL,14254,27885.0,2000
1029,Cleburne County,AL,14123,30820.0,2000
1031,Coffee County,AL,43615,33664.0,2000
1033,Colbert County,AL,54984,31954.0,2000
1035,Conecuh County,AL,14089,22111.0,2000
1037,Coosa County,AL,12202,29873.0,2000
1039,Covington County,AL,37631,26336.0,2000
1041,Crenshaw County,AL,13665,26054.0,2000
1043,Cullman County,AL,77483,32256.0,2000
1045,Dale County,AL,49129,31998.0,2000
1047,Dallas County,AL,46365,23370.0,2000
1049,DeKalb County,AL,64452,30137.0,2000
1051,Elmore County,AL,65874,41243.0,2000
1053,Escambia County,AL,38440,28319.0,2000
1055,Etowah County,AL,103459,31170.0,2000
1057,Fayette County,AL,18495,28539.0,2000
1059,Franklin County,AL,31223,27177.0,2000
1061,Geneva County,AL,25764,26448.0,2000
1063,Greene County,AL,9974,19819.0,2000
1065,Hale County,AL,17185,25807.0,2000
1067,Henry County,AL,16310,30353.0,2000
1069,Houston County,AL,88787,34431.0,2000
1071,Jackson County,AL,53926,32020.0,2000
1073,Jefferson County,AL,662047,36868.0,2000
1075,Lamar County,AL,15904,28059.0,2000
1077,Lauderdale County,AL,87966,33354.0,2000
1079,Lawrence County,AL,34803,31549.0,2000
1081,Lee County,AL,115092,30952.0,2000
1083,Limestone County,AL,65676,37405.0,2000
1085,Lowndes County,AL,13473,23050.0,2000
1087,Macon County,AL,24105,21180.0,2000
1089,Madison County,AL,276700,44704.0,2000
1091,Marengo County,AL,22539,27025.0,2000
1093,Marion County,AL,31214,27475.0,2000
1095,Marshall County,AL,82231,32167.0,2000
1097,Mobile County,AL,399843,33710.0,2000
1099,Monroe County,AL,24324,29093.0,2000
1101,Montgomery County,AL,223510,35962.0,2000
1103,Morgan County,AL,111064,37803.0,2000
1105,Perry County,AL,11861,20200.0,2000
1107,Pickens County,AL,20949,26254.0,2000
1109,Pike County,AL,29605,25551.0,2000
1111,Randolph County,AL,22380,28675.0,2000
1113,Russell County,AL,49756,27492.0,2000
1115,St. Clair County,AL,64742,37285.0,2000
1117,Shelby County,AL,143293,55440.0,2000
1119,Sumter County,AL,14798,18911.0,2000
1121,Talladega County,AL,80321,31628.0,2000
1123,Tallapoosa County,AL,41475,30745.0,2000
1125,Tuscaloosa County,AL,164875,34436.0,2000
1127,Walker County,AL,70713,29076.0,2000
1129,Washington County,AL,18097,30815.0,2000
1131,Wilcox County,AL,13183,16646.0,2000
1133,Winston County,AL,24843,28435.0,2000
2013,Aleutians East Borough,AK,2697,47875.0,2000
2016,Aleutians West Census Area,AK,5465,61406.0,2000
2020,Anchorage Municipality,AK,260283,55546.0,2000
2050,Bethel Census Area,AK,16006,35701.0,2000
2060,Bristol Bay Borough,AK,1258,52167.0,2000
2068,Denali Borough,AK,1893,53654.0,2000
2070,Dillingham Census Area,AK,4922,43079.0,2000
2090,Fairbanks North Star Borough,AK,82840,49076.0,2000
2100,Haines Borough,AK,2392,40772.0,2000
2110,Juneau City and Borough,AK,30711,62034.0,2000
2122,Kenai Peninsula Borough,AK,49691,46397.0,2000
2130,Ketchikan Gateway Borough,AK,14070,51344.0,2000
2150,Kodiak Island Borough,AK,13913,54636.0,2000
2164,Lake and Peninsula Borough,AK,1823,36442.0,2000
2170,Matanuska-Susitna Borough,AK,59322,51221.0,2000
2180,Nome Census Area,AK,9196,41250.0,2000
2185,North Slope Borough,AK,7385,63173.0,2000
2188,Northwest Arctic Borough,AK,7208,45976.0,2000
2201,Prince of Wales-Outer Ketchikan Census Area,AK,6146,40636.0,2000
2220,Sitka City and Borough,AK,8835,51901.0,2000
2232,Skagway-Hoonah-Angoon Census Area,AK,3436,40879.0,2000
2240,Southeast Fairbanks Census Area,AK,6174,38776.0,2000
2261,Valdez-Cordova Census Area,AK,10195,48734.0,2000
2270,Wade Hampton Census Area,AK,7028,30184.0,2000
2280,Wrangell-Petersburg Census Area,AK,6684,46434.0,2000
2282,Yakutat City and Borough,AK,808,46786.0,2000
2290,Yukon-Koyukuk Census Area,AK,6551,28666.0,2000
4001,Apache County,AZ,69423,23344.0,2000
4003,Cochise County,AZ,117755,32105.0,2000
4005,Coconino County,AZ,116320,38256.0,2000
4007,Gila County,AZ,51335,30917.0,2000
4009,Graham County,AZ,33489,29668.0,2000
4011,Greenlee County,AZ,8547,39384.0,2000
4012,La Paz County,AZ,19715,25839.0,2000
4013,Maricopa County,AZ,3072149,45358.0,2000
4015,Mohave County,AZ,155032,31521.0,2000
4017,Navajo County,AZ,97470,28569.0,2000
4019,Pima County,AZ,843746,36758.0,2000
4021,Pinal County,AZ,179727,35856.0,2000
4023,Santa Cruz County,AZ,38381,29710.0,2000
4025,Yavapai County,AZ,167517,34901.0,2000
4027,Yuma County,AZ,160026,32182.0,2000
5001,Arkansas County,AR,20749,30316.0,2000
5003,Ashley County,AR,24209,31758.0,2000
5005,Baxter County,AR,38386,29106.0,2000
5007,Benton County,AR,153406,40281.0,2000
5009,Boone County,AR,33948,29988.0,2000
5011,Bradley County,AR,12600,24821.0,2000
5013,Calhoun County,AR,5744,28438.0,2000
5015,Carroll County,AR,25357,27924.0,2000
5017,Chicot County,AR,14117,22024.0,2000
5019,Clark County,AR,23546,28845.0,2000
5021,Clay County,AR,17609,25345.0,2000
5023,Cleburne County,AR,24046,31531.0,2000
5025,Cleveland County,AR,8571,32405.0,2000
5027,Columbia County,AR,25603,27640.0,2000
5029,Conway County,AR,20336,31209.0,2000
5031,Craighead County,AR,82148,32425.0,2000
5033,Crawford County,AR,53247,32871.0,2000
5035,Crittenden County,AR,50866,30109.0,2000
5037,Cross County,AR,19526,29362.0,2000
5039,Dallas County,AR,9210,26608.0,2000
5041,Desha County,AR,15341,24121.0,2000
5043,Drew County,AR,18723,28627.0,2000
5045,Faulkner County,AR,86014,38204.0,2000
5047,Franklin County,AR,17771,30848.0,2000
5049,Fulton County,AR,11642,25529.0,2000
5051,Garland County,AR,88068,31724.0,2000
5053,Grant County,AR,16464,37182.0,2000
5055,Greene County,AR,37331,30828.0,2000
5057,Hempstead County,AR,23587,28622.0,2000
5059,Hot Spring County,AR,30353,31543.0,2000
5061,Howard County,AR,14300,28699.0,2000
5063,Independence County,AR,34233,31920.0,2000
5065,Izard County,AR,13249,25670.0,2000
5067,Jackson County,AR,18418,25081.0,2000
5069,Jefferson County,AR,84278,31327.0,2000
5071,Johnson County,AR,22781,27910.0,2000
5073,Lafayette County,AR,8559,24831.0,2000
5075,Lawrence County,AR,17774,27139.0,2000
5077,Lee County,AR,12580,20510.0,2000
5079,Lincoln County,AR,14492,29607.0,2000
5081,Little River County,AR,13628,29417.0,2000
5083,Logan County,AR,22486,28344.0,2000
5085,Lonoke County,AR,52828,40314.0,2000
5087,Madison County,AR,14243,27895.0,2000
5089,Marion County,AR,16140,26737.0,2000
5091,Miller County,AR,40443,30951.0,2000
5093,Mississippi County,AR,51979,27479.0,2000
5095,Monroe County,AR,10254,22632.0,2000
5097,Montgomery County,AR,9245,28421.0,2000
5099,Nevada County,AR,9955,26962.0,2000
5101,Newton County,AR,8608,24756.0,2000
5103,Ouachita County,AR,28790,29341.0,2000
5105,Perry County,AR,10209,31083.0,2000
5107,Phillips County,AR,26445,22231.0,2000
5109,Pike County,AR,11303,27695.0,2000
5111,Poinsett County,AR,25614,26558.0,2000
5113,Polk County,AR,20229,25180.0,2000
5115,Pope County,AR,54469,32069.0,2000
5117,Prairie County,AR,9539,29990.0,2000
5119,Pulaski County,AR,361474,38120.0,2000
5121,Randolph County,AR,18195,27583.0,2000
5123,St. Francis County,AR,29329,26146.0,2000
5125,Saline County,AR,83529,42569.0,2000
5127,Scott County,AR,10996,26412.0,2000
5129,Searcy County,AR,8261,21397.0,2000
5131,Sebastian County,AR,115071,33889.0,2000
5133,Sevier County,AR,15757,30144.0,2000
5135,Sharp County,AR,17119,25152.0,2000
5137,Stone County,AR,11499,22209.0,2000
5139,Union County,AR,45629,29809.0,2000
5141,Van Buren County,AR,16192,27004.0,2000
5143,Washington County,AR,157715,34691.0,2000
5145,White County,AR,67165,32203.0,2000
5147,Woodruff County,AR,8741,22099.0,2000
5149,Yell County,AR,21139,28916.0,2000
6001,Alameda County,CA,1443741,55946.0,2000
6003,Alpine County,CA,1208,41875.0,2000
6005,Amador County,CA,35100,42280.0,2000
6007,Butte County,CA,203171,31924.0,2000
6009,Calaveras County,CA,40554,41022.0,2000
6011,Colusa County,CA,18804,35062.0,2000
6013,Contra Costa County,CA,948816,63675.0,2000
6015,Del Norte County,CA,27507,29642.0,2000
6017,El Dorado County,CA,156299,51484.0,2000
6019,Fresno County,CA,799407,34725.0,2000
6021,Glenn County,CA,26453,32107.0,2000
6023,Humboldt County,CA,126518,31226.0,2000
6025,Imperial County,CA,142361,31870.0,2000
6027,Inyo County,CA,17945,35006.0,2000
6029,Kern County,CA,661645,35446.0,2000
6031,Kings County,CA,129461,35749.0,2000
6033,Lake County,CA,58309,29627.0,2000
6035,Lassen County,CA,33828,36310.0,2000
6037,Los Angeles County,CA,9519338,42189.0,2000
6039,Madera County,CA,123109,36286.0,2000
6041,Marin County,CA,247289,71306.0,2000
6043,Mariposa County,CA,17130,34626.0,2000
6045,Mendocino County,CA,86265,35996.0,2000
6047,Merced County,CA,210554,35532.0,2000
6049,Modoc County,CA,9449,27522.0,2000
6051,Mono County,CA,12853,44992.0,2000
6053,Monterey County,CA,401762,48305.0,2000
6055,Napa County,CA,124279,51738.0,2000
6057,Nevada County,CA,92033,45864.0,2000
6059,Orange County,CA,2846289,58820.0,2000
6061,Placer County,CA,248399,57535.0,2000
6063,Plumas County,CA,20824,36351.0,2000
6065,Riverside County,CA,1545387,42887.0,2000
6067,Sacramento County,CA,1223499,43816.0,2000
6069,San Benito County,CA,53234,57469.0,2000
6071,San Bernardino County,CA,1709434,42066.0,2000
6073,San Diego County,CA,2813833,47067.0,2000
6075,San Francisco County,CA,776733,55221.0,2000
6077,San Joaquin County,CA,563598,41282.0,2000
6079,San Luis Obispo County,CA,246681,42428.0,2000
6081,San Mateo County,CA,707161,70819.0,2000
6083,Santa Barbara County,CA,399347,46677.0,2000
6085,Santa Clara County,CA,1682585,74335.0,2000
6087,Santa Cruz County,CA,255602,53998.0,2000
6089,Shasta County,CA,163256,34335.0,2000
6091,Sierra County,CA,3555,35827.0,2000
6093,Siskiyou County,CA,44301,29530.0,2000
6095,Solano County,CA,394542,54099.0,2000
6097,Sonoma County,CA,458614,53076.0,2000
6099,Stanislaus County,CA,446997,40101.0,2000
6101,Sutter County,CA,78930,38375.0,2000
6103,Tehama County,CA,56039,31206.0,2000
6105,Trinity County,CA,13022,27711.0,2000
6107,Tulare County,CA,368021,33983.0,2000
6109,Tuolumne County,CA,54501,38725.0,2000
6111,Ventura County,CA,753197,59666.0,2000
6113,Yolo County,CA,168660,40769.0,2000
6115,Yuba County,CA,60219,30460.0,2000
8001,Adams County,CO,363857,47323.0,2000
8003,Alamosa County,CO,14966,29447.0,2000
8005,Arapahoe County,CO,487967,53570.0,2000
8007,Archuleta County,CO,9898,37901.0,2000
8009,Baca County,CO,4517,28099.0,2000
8011,Bent County,CO,5998,28125.0,2000
8013,Boulder County,CO,291288,55861.0,2000
8015,Chaffee County,CO,16242,34368.0,2000
8017,Cheyenne County,CO,2231,37054.0,2000
8019,Clear Creek County,CO,9322,50997.0,2000
8021,Conejos County,CO,8400,24744.0,2000
8023,Costilla County,CO,3663,19531.0,2000
8025,Crowley County,CO,5518,26803.0,2000
8027,Custer County,CO,3503,34731.0,2000
8029,Delta County,CO,27834,32785.0,2000
