canonical_name,lat,lng,elevation_ft
San Diego city,32.81498,-117.13556,420.4
Los Angeles city,34.01939,-118.41083,82.2
Colorado Springs city,38.86726,-104.76075,6337.6
Houston city,29.78574,-95.38881,52.1
Park City city,40.65733,-111.49376,7153.9
Chicago city,41.83705,-87.68494,593.6
Seattle city,47.61933,-122.35154,144.1
Miami city,25.77516,-80.20861,6.4
San Jose city,37.29601,-121.81455,163.0
Denver city,39.76185,-104.88111,5292.2
Las Vegas,36.1699,-115.1398,2006.1
St. Louis city,38.6357,-90.24458,466.7
Portland city,45.53695,-122.64997,161.1
Phoenix city,33.57215,-112.09013,1242.1
New York city,40.66271,-73.93868,54.5
San Antonio city,29.46281,-98.52464,721.5
Long Beach city,33.78079,-118.16818,33.7
Honolulu,21.3099,-157.8581,27.3
Salt Lake City city,40.77693,-111.93099,4223.2
Sacramento city,38.56769,-121.46816,26.5
Steamboat Springs city,40.47558,-106.82292,6851.1
Atlanta city,33.76291,-84.42267,956.0
Charlotte city,35.20905,-80.83099,674.4
Philadelphia city,40.00938,-75.13335,100.6
Orlando city,28.40865,-81.25481,79.6
Minneapolis city,44.96332,-93.26832,866.0
St. Paul city,44.9489,-93.10406,842.5
Indianapolis city (balance),39.77666,-86.14593,718.8
Boston city,42.33855,-71.01825,5.0
Bethesda CDP,38.98729,-77.11861,352.5
Cincinnati city,39.14018,-84.50583,761.0
Huntington Beach city,33.69801,-118.00383,53.1
Ann Arbor city,42.27615,-83.73086,889.0
Duluth city,46.77446,-92.13414,972.5
Raleigh city,35.83187,-78.64104,310.3
Dallas city,32.79333,-96.76651,482.7
Anchorage municipality,61.17425,-149.28433,3993.2
San Francisco city,37.72724,-123.03223,-45.1
Boulder city,40.02443,-105.25125,5269.5
Littleton city,39.59038,-105.02008,5427.8
Tampa city,27.96626,-82.47762,19.6
Newport Beach city,33.59733,-117.89035,14.7
Bemidji city,47.48703,-94.88269,1373.3
New York City (Brooklyn),40.6782,-73.9442,58.9
Cleveland city,41.47846,-81.67943,631.0
Madison city,43.08781,-89.42986,924.1
Baltimore city,39.30003,-76.61048,39.5
Tucson city,32.15304,-110.87077,2697.8
Walnut Creek city,37.90267,-122.04048,201.5
Marietta city,33.95356,-84.54246,1101.7
Buffalo city,42.89249,-78.85969,611.4
Columbus city,39.98394,-82.98488,806.3
The Woodlands,30.1658,-95.4613,140.4
Scottsdale city,33.68427,-111.86145,2339.0
Mammoth Lakes town,37.62443,-118.98843,8252.2
Fort Lauderdale city,26.14123,-80.14673,5.8
Rochester city,43.16993,-77.61689,492.6
Pittsburgh city,40.43994,-79.97568,969.3
Austin city,30.29862,-97.75413,610.3
Plano city,33.05077,-96.74794,711.7
Fairbanks city,64.83653,-147.65175,446.7
Gilbert town,33.31034,-111.74312,1278.9
Fullerton city,33.88572,-117.92803,273.8
Manhattan Beach city,33.90087,-118.42072,19.0
Santa Barbara city,34.40359,-119.71371,318.1
Simi Valley city,34.26689,-118.74846,877.6
Aspen city,39.19515,-106.83681,7925.9
Vail town,39.63778,-106.36246,8242.0
Rockville city,39.08367,-77.15559,453.4
New York City (Queens),40.7282,-73.7949,59.6
Tacoma city,47.2522,-122.45983,383.2
Eau Claire city,44.81834,-91.49477,873.7
Palo Alto city,37.39652,-122.14309,156.4
Rancho Cucamonga city,34.13031,-117.56607,1417.9
Naperville city,41.74917,-88.16202,700.0
Louisville city,38.22473,-85.74061,476.4
Plymouth city,45.02231,-93.46288,957.2
Omaha city,41.2627,-96.05348,1163.5
Lake Placid village,44.28417,-73.98643,1969.0
Southlake city,32.95449,-97.14887,637.9
Alexandria city,38.81925,-77.08367,164.4
Virginia Beach city,36.77952,-76.02914,12.8
