year,state,sport,gender,participants
1995,AK,Baseball,Boys,863
1995,AK,Basketball,Boys,1069
1995,AK,Basketball,Girls,801
1995,AK,Cross Country,Boys,344
1995,AK,Cross Country,Girls,258
1995,AK,Football,Boys,1815
1995,AK,Football,Girls,0
1995,AK,Golf,Boys,283
1995,AK,Golf,Girls,83
1995,AK,Ice Hockey,Boys,160
1995,AK,Ice Hockey,Girls,0
1995,AK,Soccer,Boys,559
1995,AK,Soccer,Girls,410
1995,AK,Softball,Girls,656
1995,AK,Swimming,Boys,167
1995,AK,Swimming,Girls,262
1995,AK,Tennis,Boys,289
1995,AK,Tennis,Girls,320
1995,AK,Track and Field,Boys,976
1995,AK,Track and Field,Girls,761
1995,AK,Volleyball,Girls,726
1995,AK,Wrestling,Boys,304
1995,AL,Baseball,Boys,6593
1995,AL,Basketball,Boys,8150
1995,AL,Basketball,Girls,6351
1995,AL,Cross Country,Boys,2563
1995,AL,Cross Country,Girls,1919
1995,AL,Football,Boys,14129
1995,AL,Football,Girls,0
1995,AL,Golf,Boys,2172
1995,AL,Golf,Girls,641
1995,AL,Soccer,Boys,4048
1995,AL,Soccer,Girls,3105
1995,AL,Softball,Girls,4981
1995,AL,Swimming,Boys,1255
1995,AL,Swimming,Girls,1942
1995,AL,Tennis,Boys,2187
1995,AL,Tennis,Girls,2306
1995,AL,Track and Field,Boys,7384
1995,AL,Track and Field,Girls,5847
1995,AL,Volleyball,Girls,5678
1995,AL,Wrestling,Boys,2377
1995,AR,Baseball,Boys,3983
1995,AR,Basketball,Boys,4765
1995,AR,Basketball,Girls,3649
1995,AR,Cross Country,Boys,1553
1995,AR,Cross Country,Girls,1185
1995,AR,Football,Boys,8267
1995,AR,Football,Girls,0
1995,AR,Golf,Boys,1299
1995,AR,Golf,Girls,367
1995,AR,Soccer,Boys,2510
1995,AR,Soccer,Girls,1915
1995,AR,Softball,Girls,2989
1995,AR,Swimming,Boys,759
1995,AR,Swimming,Girls,1183
1995,AR,Tennis,Boys,1300
1995,AR,Tennis,Girls,1441
1995,AR,Track and Field,Boys,4420
1995,AR,Track and Field,Girls,3471
1995,AR,Volleyball,Girls,3389
1995,AR,Wrestling,Boys,1420
1995,AZ,Baseball,Boys,9777
1995,AZ,Basketball,Boys,11894
1995,AZ,Basketball,Girls,8889
1995,AZ,Cross Country,Boys,3885
1995,AZ,Cross Country,Girls,2811
1995,AZ,Football,Boys,20273
1995,AZ,Football,Girls,0
1995,AZ,Golf,Boys,3099
1995,AZ,Golf,Girls,927
1995,AZ,Gymnastics,Boys,43
1995,AZ,Gymnastics,Girls,380
1995,AZ,Lacrosse,Boys,142
1995,AZ,Lacrosse,Girls,73
1995,AZ,Soccer,Boys,6113
1995,AZ,Soccer,Girls,4600
1995,AZ,Softball,Girls,7312
1995,AZ,Swimming,Boys,1917
1995,AZ,Swimming,Girls,2788
1995,AZ,Tennis,Boys,3197
1995,AZ,Tennis,Girls,3483
1995,AZ,Track and Field,Boys,10564
1995,AZ,Track and Field,Girls,8426
1995,AZ,Volleyball,Boys,555
1995,AZ,Volleyball,Girls,7913
1995,AZ,Wrestling,Boys,3479
1995,CA,Baseball,Boys,52868
1995,CA,Basketball,Boys,64787
1995,CA,Basketball,Girls,50620
1995,CA,Cross Country,Boys,21180
1995,CA,Cross Country,Girls,15778
1995,CA,Field Hockey,Girls,2972
