city,state,lat,lng,canonical_name,strategy,n_athletes
San Diego,CA,32.81498,-117.13556,San Diego city,direct,59
Los Angeles,CA,34.01939,-118.41083,Los Angeles city,direct,52
Colorado Springs,CO,38.86726,-104.76075,Colorado Springs city,direct,43
Houston,TX,29.78574,-95.38881,Houston city,direct,43
Park City,UT,40.65733,-111.49376,Park City city,direct,42
Chicago,IL,41.83705,-87.68494,Chicago city,direct,38
Seattle,WA,47.61933,-122.35154,Seattle city,direct,34
Miami,FL,25.77516,-80.20861,Miami city,direct,33
San Jose,CA,37.29601,-121.81455,San Jose city,direct,31
Denver,CO,39.76185,-104.88111,Denver city,direct,30
Las Vegas,NV,36.1699,-115.1398,Las Vegas,override,30
St. Louis,MO,38.6357,-90.24458,St. Louis city,direct,27
Portland,OR,45.53695,-122.64997,Portland city,direct,26
Phoenix,AZ,33.57215,-112.09013,Phoenix city,direct,25
New York,NY,40.66271,-73.93868,New York city,direct,21
San Antonio,TX,29.46281,-98.52464,San Antonio city,direct,21
Long Beach,CA,33.78079,-118.16818,Long Beach city,direct,20
Honolulu,HI,21.3099,-157.8581,Honolulu,override,20
Salt Lake City,UT,40.77693,-111.93099,Salt Lake City city,direct,20
Sacramento,CA,38.56769,-121.46816,Sacramento city,direct,19
Steamboat Springs,CO,40.47558,-106.82292,Steamboat Springs city,direct,19
Atlanta,GA,33.76291,-84.42267,Atlanta city,direct,19
Charlotte,NC,35.20905,-80.83099,Charlotte city,direct,19
Philadelphia,PA,40.00938,-75.13335,Philadelphia city,direct,19
Orlando,FL,28.40865,-81.25481,Orlando city,direct,18
Minneapolis,MN,44.96332,-93.26832,Minneapolis city,direct,18
St. Paul,MN,44.9489,-93.10406,St. Paul city,direct,18
Indianapolis,IN,39.77666,-86.14593,Indianapolis city (balance),state-starts,17
Boston,MA,42.33855,-71.01825,Boston city,direct,17
Bethesda,MD,38.98729,-77.11861,Bethesda CDP,direct,17
Cincinnati,OH,39.14018,-84.50583,Cincinnati city,direct,17
Huntington Beach,CA,33.69801,-118.00383,Huntington Beach city,direct,16
Ann Arbor,MI,42.27615,-83.73086,Ann Arbor city,direct,16
Duluth,MN,46.77446,-92.13414,Duluth city,direct,16
Raleigh,NC,35.83187,-78.64104,Raleigh city,direct,16
Dallas,TX,32.79333,-96.76651,Dallas city,direct,16
Anchorage,AK,61.17425,-149.28433,Anchorage municipality,state-starts,15
San Francisco,CA,37.72724,-123.03223,San Francisco city,direct,15
Boulder,CO,40.02443,-105.25125,Boulder city,direct,15
Littleton,CO,39.59038,-105.02008,Littleton city,direct,15
Tampa,FL,27.96626,-82.47762,Tampa city,direct,15
Newport Beach,CA,33.59733,-117.89035,Newport Beach city,direct,14
Bemidji,MN,47.48703,-94.88269,Bemidji city,direct,14
Brooklyn,NY,40.6782,-73.9442,New York City (Brooklyn),override,14
Cleveland,OH,41.47846,-81.67943,Cleveland city,direct,14
Madison,WI,43.08781,-89.42986,Madison city,direct,14
Baltimore,MD,39.30003,-76.61048,Baltimore city,direct,13
Tucson,AZ,32.15304,-110.87077,Tucson city,direct,12
Walnut Creek,CA,37.90267,-122.04048,Walnut Creek city,direct,12
Marietta,GA,33.95356,-84.54246,Marietta city,direct,12
Buffalo,NY,42.89249,-78.85969,Buffalo city,direct,12
Columbus,OH,39.98394,-82.98488,Columbus city,direct,12
The Woodlands,TX,30.1658,-95.4613,The Woodlands,override,12
Scottsdale,AZ,33.68427,-111.86145,Scottsdale city,direct,11
Mammoth Lakes,CA,37.62443,-118.98843,Mammoth Lakes town,direct,11
Fort Lauderdale,FL,26.14123,-80.14673,Fort Lauderdale city,direct,11
Rochester,NY,43.16993,-77.61689,Rochester city,direct,11
Pittsburgh,PA,40.43994,-79.97568,Pittsburgh city,direct,11
Austin,TX,30.29862,-97.75413,Austin city,direct,11
Plano,TX,33.05077,-96.74794,Plano city,direct,11
Fairbanks,AK,64.83653,-147.65175,Fairbanks city,direct,10
Gilbert,AZ,33.31034,-111.74312,Gilbert town,direct,10
Fullerton,CA,33.88572,-117.92803,Fullerton city,direct,10
Manhattan Beach,CA,33.90087,-118.42072,Manhattan Beach city,direct,10
Santa Barbara,CA,34.40359,-119.71371,Santa Barbara city,direct,10
Simi Valley,CA,34.26689,-118.74846,Simi Valley city,direct,10
Aspen,CO,39.19515,-106.83681,Aspen city,direct,10
Vail,CO,39.63778,-106.36246,Vail town,direct,10
Rockville,MD,39.08367,-77.15559,Rockville city,direct,10
Queens,NY,40.7282,-73.7949,New York City (Queens),override,10
Tacoma,WA,47.2522,-122.45983,Tacoma city,direct,10
Eau Claire,WI,44.81834,-91.49477,Eau Claire city,direct,10
Palo Alto,CA,37.39652,-122.14309,Palo Alto city,direct,9
Rancho Cucamonga,CA,34.13031,-117.56607,Rancho Cucamonga city,direct,9
Naperville,IL,41.74917,-88.16202,Naperville city,direct,9
Louisville,KY,38.22473,-85.74061,Louisville city,direct,9
Plymouth,MN,45.02231,-93.46288,Plymouth city,direct,9
Omaha,NE,41.2627,-96.05348,Omaha city,direct,9
Lake Placid,NY,44.28417,-73.98643,Lake Placid village,direct,9
Southlake,TX,32.95449,-97.14887,Southlake city,direct,9
Alexandria,VA,38.81925,-77.08367,Alexandria city,direct,9
Virginia Beach,VA,36.77952,-76.02914,Virginia Beach city,direct,9
Mesa,AZ,33.40063,-111.71649,Mesa city,direct,8
Bakersfield,CA,35.35317,-119.03792,Bakersfield city,direct,8
Carlsbad,CA,33.12928,-117.28418,Carlsbad city,direct,8
Fremont,CA,37.49446,-121.94115,Fremont city,direct,8
Irvine,CA,33.6784,-117.77125,Irvine city,direct,8
San Clemente,CA,33.44914,-117.61312,San Clemente city,direct,8
Santa Clara,CA,37.36462,-121.96797,Santa Clara city,direct,8
Santa Monica,CA,34.01091,-118.49824,Santa Monica city,direct,8
Truckee,CA,39.35055,-120.19394,Truckee town,direct,8
New Canaan,CT,41.1417,-73.49014,New Canaan CDP,direct,8
Carmel,IN,39.96548,-86.14837,Carmel city,direct,8
Fort Wayne,IN,41.08913,-85.1439,Fort Wayne city,direct,8
Fargo,ND,46.8647,-96.82908,Fargo city,direct,8
Reno,NV,39.5491,-119.84991,Reno city,direct,8
Beaverton,OR,45.47783,-122.8169,Beaverton city,direct,8
